Pokemon,Score,Type 1,Type 2
Medicham (XL),95.8,fighting,psychic
Deoxys (Defense),93.6,psychic,none
Azumarill (XL),93.5,water,fairy
Stunfisk (Galarian),92.8,ground,steel
Altaria,92.7,dragon,flying
Sableye (XL),92.7,dark,ghost
Swampert (Shadow),92,water,ground
Scrafty,91.8,dark,fighting
Swampert,91.8,water,ground
Wobbuffet (XL),91.5,psychic,none
Lickitung (XL),91.3,normal,none
Machamp (Shadow),91.2,fighting,none
Azumarill,91,water,fairy
Bastiodon (XL),90.9,rock,steel
Bastiodon (XL),90.9,rock,steel
Politoed (Shadow),90.5,water,none
Cresselia,90.3,psychic,none
Jellicent,89.8,water,ghost
Diggersby (XL),89.7,normal,ground
Hitmontop,89.7,fighting,none
Hitmontop,89.7,fighting,none
Mew,89.7,psychic,none
Politoed,89.7,water,none
Zweilous,89.6,dark,dragon
Umbreon,89.5,dark,none
Registeel,89.3,steel,none
Abomasnow (Shadow),89.2,grass,ice
Medicham,89,fighting,psychic
Castform (Rainy),88.9,water,none
Meganium,88.8,grass,none
Chesnaught,88.7,grass,fighting
Regirock,88.7,rock,none
Regirock,88.7,rock,none
Skarmory,88.7,steel,flying
Vigoroth,88.5,normal,none
Bastiodon,88.4,rock,steel
Bastiodon,88.4,rock,steel
Mandibuzz,88.4,dark,flying
Machamp,88.3,fighting,none
Tropius,88.3,grass,flying
Abomasnow,88.2,grass,ice
Primeape,88.2,fighting,none
Venusaur,88.1,grass,poison
Whiscash,88.1,water,ground
Sableye,87.8,dark,ghost
Galvantula,87.3,bug,electric
Diggersby,87.2,normal,ground
Ninetales (Alolan),87.1,ice,fairy
Pelipper,87.1,water,flying
Skarmory (Shadow),87.1,steel,flying
Zapdos (Shadow),87.1,electric,flying
Raikou (Shadow),87,electric,none
Dewgong,86.9,water,ice
Drifblim,86.7,ghost,flying
Lanturn,86.7,water,electric
Castform (Snowy),86.6,ice,none
Froslass,86.5,ice,ghost
Gliscor,86.5,ground,flying
Wigglytuff,86.5,normal,fairy
Hariyama,86.3,fighting,none
Mantine,86.3,water,flying
Poliwrath (Shadow),86.3,water,fighting
Zapdos,86.2,electric,flying
Flygon (Shadow),86,ground,dragon
Gardevoir (Shadow),86,psychic,fairy
Quagsire,86,water,ground
Quagsire,86,water,ground
Shiftry (Shadow),86,grass,dark
Snorlax,86,normal,none
Snorlax (Shadow),85.9,normal,none
Obstagoon,85.6,dark,normal
Clefable,85.2,fairy,none
